graph_name,nodes,edges,initial_crossings_neato
grafo1536.47.graphml,47,52,2
grafo1537.24.graphml,24,29,2
grafo1538.68.graphml,68,84,28
grafo1539.34.graphml,34,38,2
grafo154.33.graphml,33,34,0
grafo1540.34.graphml,34,44,8
grafo1541.33.graphml,33,44,10
grafo1542.49.graphml,49,59,7
grafo1543.54.graphml,54,72,24
grafo1544.45.graphml,45,54,6
grafo1545.54.graphml,54,71,26
grafo1546.22.graphml,22,22,0
grafo1547.53.graphml,53,68,13
grafo1548.39.graphml,39,44,0
grafo1549.55.graphml,55,66,12
grafo155.10.graphml,10,10,0
grafo1550.53.graphml,53,67,14
grafo1551.58.graphml,58,72,17
grafo1552.62.graphml,62,72,15
grafo1553.67.graphml,67,84,26
grafo1554.47.graphml,47,58,11
grafo1555.37.graphml,37,48,9
grafo1556.63.graphml,63,79,21
grafo1557.23.graphml,23,29,2
grafo1558.53.graphml,53,64,10
grafo1559.59.graphml,59,69,12
grafo156.21.graphml,21,24,1
grafo1560.49.graphml,49,59,8
grafo1561.33.graphml,33,42,8
grafo1562.49.graphml,49,55,1
grafo1563.74.graphml,74,92,26
grafo1564.66.graphml,66,85,18
grafo1565.68.graphml,68,83,10
grafo1566.58.graphml,58,62,3
grafo1567.57.graphml,57,74,32
grafo1568.69.graphml,69,89,20
grafo1569.28.graphml,28,36,8
grafo157.29.graphml,29,32,0
grafo1570.63.graphml,63,74,14
grafo1571.43.graphml,43,52,2
grafo1572.26.graphml,26,30,0
grafo1573.29.graphml,29,34,2
grafo1574.29.graphml,29,35,3
grafo1575.68.graphml,68,84,21
grafo1576.29.graphml,29,34,1
grafo1577.26.graphml,26,36,3
grafo1578.27.graphml,27,30,1
grafo1579.32.graphml,32,35,0
grafo158.21.graphml,21,24,0
grafo1580.28.graphml,28,34,2
grafo1581.46.graphml,46,52,4
grafo1582.30.graphml,30,34,1
grafo1583.66.graphml,66,81,13
grafo1584.70.graphml,70,98,64
grafo1585.26.graphml,26,33,6
grafo1586.25.graphml,25,29,3
grafo1587.29.graphml,29,35,1
grafo1588.58.graphml,58,66,4
grafo1589.31.graphml,31,46,20
grafo159.24.graphml,24,25,2
grafo1590.45.graphml,45,50,2
grafo1591.52.graphml,52,62,6
grafo1592.27.graphml,27,31,0
grafo1593.27.graphml,27,30,0
grafo1594.25.graphml,25,26,0
grafo1595.29.graphml,29,30,1
grafo1596.26.graphml,26,26,0
grafo1597.28.graphml,28,37,8
grafo1598.29.graphml,29,33,3
grafo1599.29.graphml,29,33,0
grafo160.30.graphml,30,32,0
grafo1600.28.graphml,28,37,8
grafo1601.27.graphml,27,32,1
grafo1602.26.graphml,26,29,1
grafo1603.28.graphml,28,32,3
grafo1604.28.graphml,28,32,0
grafo1605.50.graphml,50,54,2
grafo1606.63.graphml,63,85,26
grafo1607.32.graphml,32,42,10
grafo1608.28.graphml,28,29,0
grafo1609.28.graphml,28,29,0
grafo161.31.graphml,31,40,7
grafo1610.48.graphml,48,66,23
grafo1611.56.graphml,56,76,31
grafo1612.29.graphml,29,32,1
grafo1613.54.graphml,54,71,23
grafo1614.14.graphml,14,14,0
grafo1614.25.graphml,25,27,0
grafo1615.12.graphml,12,15,0
grafo1615.28.graphml,28,35,2
grafo1616.17.graphml,17,21,4
grafo1616.30.graphml,30,37,3
grafo1617.21.graphml,21,24,2
grafo1617.67.graphml,67,80,11
grafo1618.15.graphml,15,16,0
grafo1618.47.graphml,47,56,6
grafo1619.11.graphml,11,15,0
grafo1619.60.graphml,60,75,20
grafo162.24.graphml,24,32,3
grafo1620.14.graphml,14,15,0
grafo1620.27.graphml,27,27,0
grafo1621.10.graphml,10,15,3
grafo1621.51.graphml,51,61,10
grafo1622.19.graphml,19,20,0
grafo1622.31.graphml,31,41,7
grafo1623.27.graphml,27,30,1
grafo1623.30.graphml,30,41,13
grafo1624.23.graphml,23,34,12
grafo1624.44.graphml,44,53,9
grafo1625.19.graphml,19,24,4
grafo1625.27.graphml,27,37,11
grafo1626.18.graphml,18,27,7
grafo1626.28.graphml,28,30,0
grafo1627.10.graphml,10,15,3
grafo1627.30.graphml,30,40,8
grafo1628.25.graphml,25,33,9
grafo1628.56.graphml,56,72,9
grafo1629.11.graphml,11,11,0
grafo1629.26.graphml,26,29,2
grafo163.25.graphml,25,37,11
grafo1630.31.graphml,31,40,4
grafo1631.16.graphml,16,21,2
grafo1632.21.graphml,21,26,8
grafo1633.17.graphml,17,18,0
grafo1634.17.graphml,17,18,0
grafo1635.16.graphml,16,25,4
grafo1636.11.graphml,11,20,8
grafo1637.31.graphml,31,41,10
grafo1638.21.graphml,21,25,1
grafo1639.14.graphml,14,16,0
grafo164.22.graphml,22,27,4
grafo1640.17.graphml,17,19,1
grafo1641.30.graphml,30,33,0
grafo1642.18.graphml,18,19,0
